Rank,Frequency,Amplitude
1,90.00000000000001,0.03599773816326229
2,240.00000000000003,0.013512667070543181
3,265.20000000000005,0.012182829608582885
4,133.20000000000002,0.011158389270043622
5,104.40000000000002,0.010378967889495314
6,39.60000000000001,0.008679767220048078
7,97.20000000000002,0.007778986976544721
8,180.00000000000003,0.007752777490949854
9,159.60000000000002,0.007654788779604424
10,147.60000000000002,0.007120789898187627
11,118.80000000000001,0.005594396675829094
12,126.00000000000001,0.005490510764641937
13,184.80000000000004,0.005062156493960909
14,169.20000000000002,0.004747184833994898
15,138.00000000000003,0.00463034376246067
